127.0.0.1 - - [19/Oct/2020:10:39:55 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:39:57 +0530] "GET /jsonqr/ HTTP/1.1" 200 2587
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:39:57 +0530] "GET /jsonqr/resources/style.css HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:40:30 +0530] "GET /jsonqr/login HTTP/1.1" 200 2560
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:40:30 +0530] "GET /jsonqr/resources/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:40:32 +0530] "GET /jsonqr/login HTTP/1.1" 200 2560
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:40:33 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:40:37 +0530] "POST /jsonqr/login HTTP/1.1" 200 8543
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:40:43 +0530] "GET /jsonqr/issuelist?dcode=0103901&_=1603084237956 HTTP/1.1" 200 5938
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:40:57 +0530] "GET /jsonqr/viewissue?isuno=202912&olcode=0103901 HTTP/1.1" 200 5858
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:40:57 +0530] "GET /jsonqr/resources/js/example.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:40:57 +0530] "GET /jsonqr/resources/js/jquery-1.3.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:40:57 +0530] "GET /jsonqr/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:40:57 +0530] "GET /jsonqr/resources/css/print.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:41:09 +0530] "GET /jsonqr/download?isuno=202912&olcode=0103901 HTTP/1.1" 500 8810
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:55:10 +0530] "GET /jsonqr/download?isuno=202912&olcode=0103901 HTTP/1.1" 200 1554
0:0:0:0:0:0:0:1 - - [19/Oct/2020:11:19:31 +0530] "GET /jsonqr/viewissue?isuno=202912&olcode=0103901 HTTP/1.1" 200 5858
0:0:0:0:0:0:0:1 - - [19/Oct/2020:11:19:34 +0530] "GET /jsonqr/download?isuno=202912&olcode=0103901 HTTP/1.1" 500 8514
0:0:0:0:0:0:0:1 - - [19/Oct/2020:11:25:49 +0530] "GET /jsonqr/viewissue?isuno=202912&olcode=0103901 HTTP/1.1" 200 5858
0:0:0:0:0:0:0:1 - - [19/Oct/2020:11:25:55 +0530] "GET /jsonqr/download?isuno=202912&olcode=0103901 HTTP/1.1" 500 9038
0:0:0:0:0:0:0:1 - - [19/Oct/2020:11:26:58 +0530] "GET /jsonqr/download?isuno=202912&olcode=0103901 HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [19/Oct/2020:11:41:26 +0530] "GET /jsonqr/download?isuno=202912&olcode=0103901 HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [19/Oct/2020:11:45:09 +0530] "GET /jsonqr/download?isuno=202912&olcode=0103901 HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [19/Oct/2020:11:45:59 +0530] "GET /jsonqr/download?isuno=202912&olcode=0103901 HTTP/1.1" 200 1264
0:0:0:0:0:0:0:1 - - [19/Oct/2020:11:50:07 +0530] "POST /jsonqr/login HTTP/1.1" 200 8543
0:0:0:0:0:0:0:1 - - [19/Oct/2020:11:50:11 +0530] "GET /jsonqr/issuelist?dcode=0102901&_=1603088407234 HTTP/1.1" 200 2713
0:0:0:0:0:0:0:1 - - [19/Oct/2020:11:50:15 +0530] "GET /jsonqr/issuelist?dcode=0103901&_=1603088407235 HTTP/1.1" 200 5938
0:0:0:0:0:0:0:1 - - [19/Oct/2020:11:50:19 +0530] "GET /jsonqr/viewissue?isuno=202912&olcode=0103901 HTTP/1.1" 200 5858
0:0:0:0:0:0:0:1 - - [19/Oct/2020:11:59:32 +0530] "GET /jsonqr/download?isuno=202912&olcode=0103901 HTTP/1.1" 200 3052
